2025-09-30T02:08:44+02:00 | requisitos_todos | dur=0.000210s | sql=SELECT id, nombre FROM requisitos
2025-09-30T02:09:00+02:00 | requisitos_todos | dur=0.000121s | sql=SELECT id, nombre FROM requisitos
2025-09-30T03:29:12+02:00 | requisitos_todos | dur=0.000142s | sql=SELECT id, nombre FROM requisitos
2025-09-30T03:29:18+02:00 | requisitos_todos | dur=0.000094s | sql=SELECT id, nombre FROM requisitos
2025-09-30T03:29:27+02:00 | requisitos_todos | dur=0.000098s | sql=SELECT id, nombre FROM requisitos
2025-09-30T04:10:57+02:00 | requisitos_todos | dur=0.000146s | sql=SELECT id, nombre FROM requisitos
2025-09-30T04:11:04+02:00 | requisitos_todos | dur=0.000132s | sql=SELECT id, nombre FROM requisitos
2025-09-30T04:11:06+02:00 | requisitos_evento | dur=0.000409s | sql=SELECT r.id, r.nombre, er.estado       FROM evento_requisito er       JOIN requisitos r ON er.requisito_id = r.id       WHERE er.evento_id = 15
2025-09-30T04:11:06+02:00 | requisitos_todos | dur=0.000004s | sql=SELECT id, nombre FROM requisitos
2025-09-30T04:11:13+02:00 | requisitos_evento | dur=0.000390s | sql=SELECT r.id, r.nombre, er.estado       FROM evento_requisito er       JOIN requisitos r ON er.requisito_id = r.id       WHERE er.evento_id = 19
2025-09-30T04:11:13+02:00 | requisitos_todos | dur=0.000005s | sql=SELECT id, nombre FROM requisitos
2025-09-30T04:11:15+02:00 | requisitos_evento | dur=0.000352s | sql=SELECT r.id, r.nombre, er.estado       FROM evento_requisito er       JOIN requisitos r ON er.requisito_id = r.id       WHERE er.evento_id = 18
2025-09-30T04:11:15+02:00 | requisitos_todos | dur=0.000004s | sql=SELECT id, nombre FROM requisitos
2025-09-30T04:11:28+02:00 | requisitos_todos | dur=0.000078s | sql=SELECT id, nombre FROM requisitos
2025-09-30T04:12:12+02:00 | requisitos_todos | dur=0.000137s | sql=SELECT id, nombre FROM requisitos
2025-09-30T04:12:16+02:00 | requisitos_evento | dur=0.000390s | sql=SELECT r.id, r.nombre, er.estado       FROM evento_requisito er       JOIN requisitos r ON er.requisito_id = r.id       WHERE er.evento_id = 15
2025-09-30T04:12:16+02:00 | requisitos_todos | dur=0.000005s | sql=SELECT id, nombre FROM requisitos
2025-09-30T04:12:17+02:00 | requisitos_evento | dur=0.000373s | sql=SELECT r.id, r.nombre, er.estado       FROM evento_requisito er       JOIN requisitos r ON er.requisito_id = r.id       WHERE er.evento_id = 27
2025-09-30T04:12:17+02:00 | requisitos_todos | dur=0.000004s | sql=SELECT id, nombre FROM requisitos
